ART_ID,ART_Name,ART_Genre,ART_Image
244,Joy Oladokun,,https://i.scdn.co/image/ab6761610000e5eb551a2aa848eab89d62e1c7f4
245,Kid Koala,,https://i.scdn.co/image/ab6761610000e5eb3a7fa0202eec9b9af4a33796
246,Young Thug,,https://i.scdn.co/image/ab6761610000e5eb9f2fb33940aac624dc5d100d
247,Loren Allred,,https://i.scdn.co/image/ab6761610000e5eb63a865830b252c3ebca8701b
248,Roger Creager,,https://i.scdn.co/image/ab6761610000e5eb833c36da9f1f46e3b5e7e237
249,Bedouine,,https://i.scdn.co/image/ab6761610000e5ebc8b762d7b5ee0a96fa6ae382
250,Sheila Johnson,,
251,Karen Cowley,,
252,James Bay,,https://i.scdn.co/image/ab6761610000e5eb58d57084e75247d33ce25eaf
253,CAIN,,https://i.scdn.co/image/ab6761610000e5eb01971b89c81094cf84e91cd1
254,Audra McDonald,,https://i.scdn.co/image/ab6761610000e5eb354206afecc8da965a3c8fcf
255,Money Mark,,https://i.scdn.co/image/ab6772690000c46cb13b8b3be9f9e220eca8d96c
256,Mario C. +3,,
257,The Corrs,,https://i.scdn.co/image/ab6761610000e5ebde0ef21e54809a4c88a81ab6
258,Carl Johnson,,https://i.scdn.co/image/ab6761610000e5eb86390178aa9b9fb78b705d3c
259,G-Eazy,,https://i.scdn.co/image/ab6761610000e5ebd0f55babbbdcfab188016110
260,Eric Church,,https://i.scdn.co/image/ab6761610000e5eb31783fb959349f0c82e39bfe
261,Annaleigh Ashford,,https://i.scdn.co/image/ab67616d0000b2731828473d593f22288c795e5c
262,Red Steagall,,https://i.scdn.co/image/78b8aa315f1c8cdb9ecff0b45b9fe0ac8aa46ad8
263,Rod Stewart,,https://i.scdn.co/image/ab6761610000e5eb876f7ad601fe9a02247b9fb9
264,Yaadcore,,https://i.scdn.co/image/ab6761610000e5eb10b3700e40965489947550d5
265,Jordan Fisher,,https://i.scdn.co/image/ab6761610000e5ebbab4fa8cd8a2554bb062325d
266,Luigi Patruno,,
267,Klaus Badelt,,https://i.scdn.co/image/dfb330ecd4910c9b1ac443a5e2bbbdf3ca64a4b4
12,Jack Johnson,,https://i.scdn.co/image/ab6761610000e5eb0bf3ff1eaa4c0d6d664ccc3f
268,21 Savage,,https://i.scdn.co/image/ab6761610000e5eb4f8f76117470957c0e81e5b2
269,Béla Fleck,,https://i.scdn.co/image/ab6761610000e5ebfc9bbd6477cc3fe11e03146a
270,Brian Johnson,,https://i.scdn.co/image/ab6761610000e5eb1fe71e2be51bc9fd226cd9ea
